X,Y,sitename
-71.27187646366063,44.03695605905179,D01_BART_R1_P1_v1
-72.21483707376642,42.47934151214345,D01_HARV_C1_P1_v1
-72.12813109023291,42.49662044593503,D01_HARV_C1_P3_v1
-78.02249517526482,39.0865539244142,D02_BLAN_R2_P1_v1
-78.14948827560707,38.874231047805125,D02_SCBI_C1_P1_v1
-76.56344991911486,38.89007982597324,D02_SERC_R1_P1_v1
-81.42877705733251,28.094206362872136,D03_DSNY_R1_P1_v1
-84.4713706112881,31.24278681890737,D03_JERC_R2_P1_v1
-84.54568886997343,31.287610061659006,D03_JERC_R2_P2_v3
-84.39577485068799,31.227627953050984,D03_JERC_R2_P2_v3
-81.9899577550215,29.681480184182757,D03_OSBS_C1_P1_v1
-81.92559559702391,29.66169353065767,D03_OSBS_C1_P2_v1
-82.06111525948931,29.688072664301792,D03_OSBS_C1_P2_v1
-66.85325275257365,17.986461341366535,D04_GUAN_C1_P1_v1
-67.0360705483817,18.052171272620072,D04_LAJA_R1_P1_v6
-90.08368862128177,45.8086344245859,D05_CHEQ_R2_P1_v2
-89.54954087496789,45.499048100517186,D05_STEI_TREE_R1_P1_v2
-89.43867038573656,45.498958362790866,D05_STEI_TREE_R1_P2_v2
-89.50789439502479,46.207635808366646,D05_UNDE_C1_P1_v1
-96.57390581717407,39.12407933792522,D06_KONZ_KONA_C1_P1_v3
-95.19635778738069,39.03397942983707,D06_UKFS_R1_P1_v2
-83.4810595564161,35.66514384855285,D07_GRSM_R1_P1_all_v1
-83.30284850736642,35.69242407254327,D07_GRSM_R1_P2_all_v1
-83.55840719491215,35.59627201858764,D07_GRSM_R1_P2_all_v1
-80.53206651299708,37.381850590044635,D07_MLBS_R1_P1_v5
-84.30791103869522,35.93774147569735,D07_ORNL_C1_P1_v8
-87.80397163479408,32.55087247449661,D08_DELA_R1_P1_v1
-88.19253079843561,31.832442475671613,D08_LENO_R2_P1_v1
-87.4176077903514,32.92867925925732,D08_TALL_C1_P1_v1
-100.91361507715764,46.785938981324506,D09_NOGP_R2_P1_v1
-99.18300463296904,47.155540551869905,D09_WOOD_DCFS_C1_P1_v2
-104.7338399818565,40.82676381154768,D10_CPER_C1_P1_v4
-105.51059698187989,40.218882388959415,D10_RMNP_R2_P1_v1
-103.04260706474655,40.47998395239681,D10_STER_R1_P1_v1
-97.60848157912625,33.36978060993207,D11_CLBJ_C1_P1_v1
-99.10043393260652,35.36381523384742,D11_OAES_R1_P1_v1
-110.52402633087678,44.93094302074765,D12_YELL_C1_P1_v2
-109.38827,38.248329826669625,D13_MOAB_R1_P1_v2
-105.5603780961247,40.031227181931136,D13_NIWO_C1_P1_v2
-106.81931992938495,32.610488461221166,D14_JORN_R1_P1_v3
-106.92798704066523,32.68004236954831,D14_JORN_R1_P2_v1
-110.85261679471938,31.82888682116312,D14_SRER_C1_P1_v2
-112.48995621276231,40.190732638708766,D15_ONAQ_C1_P1_v2
-122.31630789120456,45.75870355548773,D16_ABBY_R2_P1_v1
-121.82772739352326,45.84008615505194,D16_WREF_C1_P1_v2
-121.98561502011201,45.838997824352525,D16_WREF_C1_P1_v2
-121.89669775893488,45.84008661712141,D16_WREF_C1_P2_v2
-122.07134056093375,45.83896141091011,D16_WREF_C1_P2_v2
-119.73227999999983,37.09036280023367,D17_SJER_C1_P1_v2
-119.23433903745521,37.05928131141261,D17_SOAP_R1_P1_v6
-119.30849758891326,37.050669740059625,D17_SOAP_R1_P2_v2
-119.26216621867346,37.001220490805046,D17_SOAP_R1_P3_v1
-119.03385946531603,37.025414935708945,D17_TEAK_R2_P1_v2
-156.47621932433836,71.29793764243435,D18_BARO_R1_P1_v2
-156.73905504578403,71.28841520490516,D18_BARO_R1_P3_v2
-149.46548519234688,68.62104404588887,D18_TOOL_C1_P1_v1
-147.50896826214935,65.17944849162235,D19_BONA_C1_P1_v2
-145.71808940538736,63.858464434735346,D19_DEJU_R1_P1_v2
-149.2133399999999,63.879976449954256,D19_HEAL_R3_P1_v1
-155.2938635541035,19.556965942549,D20_PUUM_C1_P1_v2
-72.34523422575006,42.489063813136326,D01_HOPB_A1_P2_v1
-89.70111108176593,46.00158434402936,D05_LIRO_A1_P2_v1
-96.47721307017385,38.95890311487697,D06_MCDI_C1_P2_v1
-102.51795734453479,39.7389235807932,D10_ARIK_A1_P2_v2
-96.6515666617523,34.46395211995991,D11_BLUE_A2_P2_v2
-97.82619469218564,33.375828644631795,D11_PRIN_A1_P2_v1
-105.91730195817486,39.89027553968671,D13_WLOU_A1_2_v1
-111.7774487352725,40.80321667206923,D15_REDB_A1_P2_v1
-122.1507862516511,44.26862477149035,D16_MCRA_A2_P2_v1
-149.19801008118193,68.61793438981226,D18_OKSR_A1_P2_v1
